Email_ID,Custom_ID,Solution,Unit,편명,Date,Priority,Alert_type,Message_Number,Work Detail Keyword,ATA_from_Alert,POS_ESN,Plainbody,ASMR,Attachment,Severity,Type,Department,Organization,ATA,ATA_Detail,Trouble Shooting Recommendation,[CHK] NR_Required,[CHK] EngineerReview,Engineer_Comment,MCPI_Plan,Alert Type,NR Priority,NR Number,NR Creation Date,수행 일자,점검 결과,Cost,ATA (2-Letter),Ref_KEY,AC_Type,HL_No.,Status,Folder_ID,Shop Finding,DOC_URL
1965854aeb0d2f5c,,AHM,777_HL8274,KE0643,2025. 4. 21,,,29-4006-C630,POSSIBLE LEAK IN CENTER HYDRAULIC SYSTEM DETECTED [FREQUENT SERVICING]  (29-4006-C630),,,POSSIBLE LEAK IN CENTER HYDRAULIC SYSTEM DETECTED [FREQUENT SERVICING]  (29-4006-C630),,,,,,,,,,FALSE,TRUE,"[박창훈] 
AHM 확인 결과, Level이 급격히 증가한후에, 다시 하락하는 경향을 보임. 
동 항공기, HYD RSVR PRESS C Status MSG 발생 하였으며, 
RSVR 가압되지 않아 관련 작업 수행함. 
RSVR 미가압으로 인해 Level 증가 후 작업 완료하면서 다시 정상 Level로 돌아간것으로 추정됨. 
Order 불요      ",,No Action,,,,2025. 4. 22,,,29,777_HL82742025-04-21 21:31:23,777,HL8274,Monitoring,,N/A,
19656a905be61027,,AHM,748_HL7609,KE8204,2025. 4. 21,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,"[오진석] Monitoring
No.2: 66도 2980 psi",,No Action,,,,2025. 4. 21,,,29,748_HL76092025-04-21 13:44:22,748,HL7609,Closed,,N/A,
19653d76c53b3f15,,AHM,748_HL7609,KE8203,2025. 4. 21,,,29-0109-S831,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,HYDRAULIC SYSTEM 2 PRESSURE TRENDING TOO HIGH OR TOO LOW  (29-0109-S831),,,,,,,,,,FALSE,TRUE,"[오진석] Monitoring
No.2: 69도 3000 psi",,No Action,,,,2025. 4. 21,,,29,748_HL76092025-04-21 00:36:23,748,HL7609,Closed,,N/A,
19651ad7c53fae54,,AHM,777_HL8347,KE0894,2025. 4. 20,,,36-0106-C480,THE LH BLEED PRESSURE (PI) SENSOR SHOWS SIGNS OF IMMINENT FAILURE OR AN FDE [FAIL BLEED PRESS SENSOR 2].  (36-0106-C480),,,THE LH BLEED PRESSURE (PI) SENSOR SHOWS SIGNS OF IMMINENT FAILURE OR AN FDE [FAIL BLEED PRESS SENSOR 2].  (36-0106-C480),,,,,,,,,,TRUE,TRUE,"[오진석]
Detected Fault 9초 이상 시 FDE 발생
IP SENSOR 교환 요청. 
1/23일, No.1 ENG IGNITOR 결함으로 엔진 교환으로 인한 LOW TST.
",,Predictive Alert,MID,13153264,2025. 4. 20,,,21424,36,777_HL83472025-04-20 14:31:23,777,HL8347,Open,,Pending,
220_HL7201Sun Apr 20 2025 11:17:23 GMT+0900 (Korean Standard Time),,KAL,220_HL7201,KE1505,2025. 4. 20,,,220-KAL-36-001,A220 No.2 PRSOV Degradtion,,,,,,,,,,,,,FALSE,TRUE,"[오진석]
Monitoring",,No Action,MID,,,2025. 4. 21,,8000,36,220_HL7201Sun Apr 20 2025 11:17:23 GMT+0900 (Korean Standard Time),220,HL7201,Closed,,N/A,
1964aa66c05970e5,,AHM,748_HL7624,KE0256,2025. 4. 19,,,29-0121-S831,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,HYDRAULIC CASE DRAIN TEMPERATURE DIFFERENCE TOO LARGE: SYSTEMS 2 & 3  (29-0121-S831),,,,,,,,,,FALSE,TRUE,"[박창훈] #2 : 71, #3 : 46 정상",,No Action,,,,2025. 4. 19,,,29,748_HL76242025-04-19 05:46:24,748,HL7624,Closed,,N/A,
330_HL8026Fri Apr 18 2025 16:11:31 GMT+0900 (Korean Standard Time),,KAL,330_HL8026,KE137,2025. 4. 18,,,330-KAL-29-005,Yellow Hydraulic Leak Suspected - Slope 상승,,,,,,,,,,,,,FALSE,TRUE,[박창훈] EDP Elbow 교환으로 인한 Level 변화,,No Action,MID,,,2025. 4. 18,,,29,330_HL8026Fri Apr 18 2025 16:11:31 GMT+0900 (Korean Standard Time),330,HL8026,Monitoring,,N/A,
196471fc15e10e28,,SPM,321_HL8556,KE0859,2025. 4. 18,,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,ENGINE 1 (1000EM1) N2 EXCESSIVE VIBRATION DETECTED,,,,,,,,,,FALSE,TRUE,[박창훈] MOT/MAE 모니터링 중으로 최대한 늦게 Engine 교환 예정,,Predictive Alert,,,,2025. 4. 18,,,77,321_HL85562025-04-18 13:20:23,321,HL8556,Monitoring,,Pending,
330_HL8026Fri Apr 18 2025 12:12:13 GMT+0900 (Korean Standard Time),,KAL,330_HL8026,KE137,2025. 4. 18,,,330-KAL-29-005,Yellow Hydraulic Leak Suspected - 비행전/후 Level 변화폭 증가,,,,,,,,,,,,,FALSE,TRUE,[박창훈] EDP Elbow 교환으로 인한 Level 변화,,No Action,MID,,,2025. 4. 18,,,29,330_HL8026Fri Apr 18 2025 12:12:13 GMT+0900 (Korean Standard Time),330,HL8026,Closed,,N/A,
75842025-04-18 09:22:26,,KAL,330_HL7584,KE1318,2025. 4. 18,,,330-KAL-32-001, NO.3 AND NO.8 ABNORMAL BRAKE TEMP,,,,,,,,,,,,,TRUE,TRUE,"[오진석]
No.3 Brake Temp High and No. 8 Brake Temp Low 현상 지속되어
BRK Servo VLV Bench CHK를 위해 교환 요청함",,Predictive Alert,MID,13148176,2025. 4. 18,,,17680,32,75842025-04-18 09:22:26,330,HL7584,Open,,Pending,
